age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U8,1,Tue 18:30,JP1,Pitch 1,JP1.1,ENGLAND,HOLLAND
U8,1,Tue 18:30,JP1,Pitch 2,JP1.2,PORTUGAL,FRANCE
U8,1,Tue 18:30,JP1,Pitch 3,JP1.3,ARGENTINA,GERMANY
U6,1,Tue 18:30,JP1,Pitch 4,JP1.4,IRELAND,GERMANY
U9,1,Tue 18:30,JP2,Pitch 5,JP2.1,HOLLAND,BRAZIL
U9,1,Tue 18:30,JP2,Pitch 6,JP2.2,FRANCE,ENGLAND
U9,1,Tue 18:30,JP2,Pitch 7,JP2.3,IRELAND,ARGENTINA
U7,1,Tue 18:30,JP2,Pitch 8,JP2.4,IRELAND,GERMANY
U10,1,Tue 18:30,JP3,Pitch 9,JP3.1,ITALY,BRAZIL
U10,1,Tue 18:30,JP3,Pitch 10,JP3.2,IRELAND,GERMANY
U10,1,Tue 18:30,JP3,Pitch 11,JP3.3,ARGENTINA,PORTUGAL
U11,1,Tue 18:30,JP4,Pitch 12,JP4.1,ENGLAND,HOLLAND
U11,1,Tue 18:30,JP4,Pitch 13,JP4.2,ARGENTINA,PORTUGAL
U11,1,Tue 18:30,JP4,Pitch 14,JP4.3,ITALY,BRAZIL
U8,2,Tue 18:45,JP1,Pitch 1,JP1.1,ITALY,SPAIN
U8,2,Tue 18:45,JP1,Pitch 2,JP1.2,IRELAND,BRAZIL
U8,2,Tue 18:45,JP1,Pitch 3,JP1.3,FRANCE,HOLLAND
U6,2,Tue 18:45,JP1,Pitch 4,JP1.4,SPAIN,HOLLAND
U9,2,Tue 18:45,JP2,Pitch 5,JP2.1,ITALY,PORTUGAL
U9,2,Tue 18:45,JP2,Pitch 6,JP2.2,GERMANY,SPAIN
U9,2,Tue 18:45,JP2,Pitch 7,JP2.3,FRANCE,HOLLAND
U7,2,Tue 18:45,JP2,Pitch 8,JP2.4,SPAIN,HOLLAND
U10,2,Tue 18:45,JP3,Pitch 9,JP3.1,SPAIN,FRANCE
U10,2,Tue 18:45,JP3,Pitch 10,JP3.2,ENGLAND,HOLLAND
U10,2,Tue 18:45,JP3,Pitch 11,JP3.3,PORTUGAL,BRAZIL
U11,2,Tue 18:45,JP4,Pitch 12,JP4.1,IRELAND,FRANCE
U11,2,Tue 18:45,JP4,Pitch 13,JP4.2,GERMANY,SPAIN
U11,2,Tue 18:45,JP4,Pitch 14,JP4.3,ENGLAND,ARGENTINA
U8,3,Tue 19:00,JP1,Pitch 1,JP1.1,ARGENTINA,PORTUGAL
U8,3,Tue 19:00,JP1,Pitch 2,JP1.2,ENGLAND,GERMANY
U8,3,Tue 19:00,JP1,Pitch 3,JP1.3,HOLLAND,BRAZIL
U6,3,Tue 19:00,JP1,Pitch 4,JP1.4,BRAZIL,ARGENTINA
U9,3,Tue 19:00,JP2,Pitch 5,JP2.1,BRAZIL,ENGLAND
U9,3,Tue 19:00,JP2,Pitch 6,JP2.2,HOLLAND,PORTUGAL
U9,3,Tue 19:00,JP2,Pitch 7,JP2.3,ARGENTINA,GERMANY
U7,3,Tue 19:00,JP2,Pitch 8,JP2.4,BRAZIL,ARGENTINA
U10,3,Tue 19:00,JP3,Pitch 9,JP3.1,ARGENTINA,ITALY
U10,3,Tue 19:00,JP3,Pitch 10,JP3.2,HOLLAND,GERMANY
U10,3,Tue 19:00,JP3,Pitch 11,JP3.3,IRELAND,FRANCE
U11,3,Tue 19:00,JP4,Pitch 12,JP4.1,PORTUGAL,BRAZIL
U11,3,Tue 19:00,JP4,Pitch 13,JP4.2,HOLLAND,ITALY
U11,3,Tue 19:00,JP4,Pitch 14,JP4.3,ENGLAND,GERMANY
U8,4,Tue 19:15,JP1,Pitch 1,JP1.1,ITALY,FRANCE
U8,4,Tue 19:15,JP1,Pitch 2,JP1.2,IRELAND,SPAIN
U8,4,Tue 19:15,JP1,Pitch 3,JP1.3,BRAZIL,ENGLAND
U6,4,Tue 19:15,JP1,Pitch 4,JP1.4,IRELAND,SPAIN
U9,4,Tue 19:15,JP2,Pitch 5,JP2.1,IRELAND,FRANCE
U9,4,Tue 19:15,JP2,Pitch 6,JP2.2,ITALY,SPAIN
U9,4,Tue 19:15,JP2,Pitch 7,JP2.3,PORTUGAL,BRAZIL
U7,4,Tue 19:15,JP2,Pitch 8,JP2.4,IRELAND,SPAIN
U10,4,Tue 19:15,JP3,Pitch 9,JP3.1,BRAZIL,ENGLAND
U10,4,Tue 19:15,JP3,Pitch 10,JP3.2,PORTUGAL,SPAIN
U10,4,Tue 19:15,JP3,Pitch 11,JP3.3,ARGENTINA,HOLLAND
U11,4,Tue 19:15,JP4,Pitch 12,JP4.1,IRELAND,SPAIN
U11,4,Tue 19:15,JP4,Pitch 13,JP4.2,FRANCE,ARGENTINA
U11,4,Tue 19:15,JP4,Pitch 14,JP4.3,GERMANY,BRAZIL
U8,5,Tue 19:30,JP1,Pitch 1,JP1.1,ARGENTINA,HOLLAND
U8,5,Tue 19:30,JP1,Pitch 2,JP1.2,GERMANY,PORTUGAL
U8,5,Tue 19:30,JP1,Pitch 3,JP1.3,SPAIN,ENGLAND
U6,5,Tue 19:30,JP1,Pitch 4,JP1.4,HOLLAND,ARGENTINA
U9,5,Tue 19:30,JP2,Pitch 5,JP2.1,ENGLAND,HOLLAND
U9,5,Tue 19:30,JP2,Pitch 6,JP2.2,ITALY,BRAZIL
U9,5,Tue 19:30,JP2,Pitch 7,JP2.3,IRELAND,GERMANY
U7,5,Tue 19:30,JP2,Pitch 8,JP2.4,HOLLAND,ARGENTINA
U10,5,Tue 19:30,JP3,Pitch 9,JP3.1,ITALY,FRANCE
U10,5,Tue 19:30,JP3,Pitch 10,JP3.2,SPAIN,HOLLAND
U10,5,Tue 19:30,JP3,Pitch 11,JP3.3,ENGLAND,GERMANY
U11,5,Tue 19:30,JP4,Pitch 12,JP4.1,HOLLAND,PORTUGAL
U11,5,Tue 19:30,JP4,Pitch 13,JP4.2,ENGLAND,ITALY
U11,5,Tue 19:30,JP4,Pitch 14,JP4.3,IRELAND,BRAZIL
U8,6,Tue 19:45,JP1,Pitch 1,JP1.1,IRELAND,FRANCE
U8,6,Tue 19:45,JP1,Pitch 2,JP1.2,ITALY,BRAZIL
U8,6,Tue 19:45,JP1,Pitch 3,JP1.3,SPAIN,ARGENTINA
U6,6,Tue 19:45,JP1,Pitch 4,JP1.4,GERMANY,BRAZIL
U9,6,Tue 19:45,JP2,Pitch 5,JP2.1,PORTUGAL,FRANCE
U9,6,Tue 19:45,JP2,Pitch 6,JP2.2,SPAIN,ARGENTINA
U9,6,Tue 19:45,JP2,Pitch 7,JP2.3,HOLLAND,ITALY
U7,6,Tue 19:45,JP2,Pitch 8,JP2.4,GERMANY,BRAZIL
U10,6,Tue 19:45,JP3,Pitch 9,JP3.1,BRAZIL,ARGENTINA
U10,6,Tue 19:45,JP3,Pitch 10,JP3.2,IRELAND,PORTUGAL
U10,6,Tue 19:45,JP3,Pitch 11,JP3.3,HOLLAND,ITALY
U11,6,Tue 19:45,JP4,Pitch 12,JP4.1,FRANCE,GERMANY
U11,6,Tue 19:45,JP4,Pitch 13,JP4.2,SPAIN,ARGENTINA
U11,6,Tue 19:45,JP4,Pitch 14,JP4.3,HOLLAND,BRAZIL
U8,7,Tue 20:00,JP1,Pitch 1,JP1.1,HOLLAND,GERMANY
U8,7,Tue 20:00,JP1,Pitch 2,JP1.2,PORTUGAL,ENGLAND
U8,7,Tue 20:00,JP1,Pitch 3,JP1.3,FRANCE,ARGENTINA
U6,7,Tue 20:00,JP1,Pitch 4,JP1.4,IRELAND,HOLLAND
U9,7,Tue 20:00,JP2,Pitch 5,JP2.1,IRELAND,ENGLAND
U9,7,Tue 20:00,JP2,Pitch 6,JP2.2,GERMANY,BRAZIL
U9,7,Tue 20:00,JP2,Pitch 7,JP2.3,ITALY,FRANCE
U7,7,Tue 20:00,JP2,Pitch 8,JP2.4,IRELAND,HOLLAND
U10,7,Tue 20:00,JP3,Pitch 9,JP3.1,FRANCE,GERMANY
U10,7,Tue 20:00,JP3,Pitch 10,JP3.2,SPAIN,ENGLAND
U10,7,Tue 20:00,JP3,Pitch 11,JP3.3,ITALY,PORTUGAL
U11,7,Tue 20:00,JP4,Pitch 12,JP4.1,PORTUGAL,ENGLAND
U11,7,Tue 20:00,JP4,Pitch 13,JP4.2,IRELAND,ITALY
U11,7,Tue 20:00,JP4,Pitch 14,JP4.3,SPAIN,HOLLAND
U8,8,Tue 20:15,JP1,Pitch 1,JP1.1,BRAZIL,SPAIN
U8,8,Tue 20:15,JP1,Pitch 2,JP1.2,IRELAND,ITALY
U8,8,Tue 20:15,JP1,Pitch 3,JP1.3,FRANCE,GERMANY
U6,8,Tue 20:15,JP1,Pitch 4,JP1.4,SPAIN,BRAZIL
U9,8,Tue 20:15,JP2,Pitch 5,JP2.1,PORTUGAL,SPAIN
U9,8,Tue 20:15,JP2,Pitch 6,JP2.2,ARGENTINA,HOLLAND
U9,8,Tue 20:15,JP2,Pitch 7,JP2.3,GERMANY,ITALY
U7,8,Tue 20:15,JP2,Pitch 8,JP2.4,SPAIN,BRAZIL
U10,8,Tue 20:15,JP3,Pitch 9,JP3.1,IRELAND,HOLLAND
U10,8,Tue 20:15,JP3,Pitch 10,JP3.2,ENGLAND,ITALY
U10,8,Tue 20:15,JP3,Pitch 11,JP3.3,GERMANY,BRAZIL
U11,8,Tue 20:15,JP4,Pitch 12,JP4.1,ARGENTINA,GERMANY
U11,8,Tue 20:15,JP4,Pitch 13,JP4.2,BRAZIL,FRANCE
U11,8,Tue 20:15,JP4,Pitch 14,JP4.3,PORTUGAL,SPAIN
U8,9,Thu 18:30,JP1,Pitch 1,JP1.1,HOLLAND,PORTUGAL
U8,9,Thu 18:30,JP1,Pitch 2,JP1.2,ENGLAND,ARGENTINA
U8,9,Thu 18:30,JP1,Pitch 3,JP1.3,IRELAND,GERMANY
U6,9,Thu 18:30,JP1,Pitch 4,JP1.4,GERMANY,ARGENTINA
U9,9,Thu 18:30,JP2,Pitch 5,JP2.1,BRAZIL,FRANCE
U9,9,Thu 18:30,JP2,Pitch 6,JP2.2,SPAIN,ENGLAND
U9,9,Thu 18:30,JP2,Pitch 7,JP2.3,IRELAND,PORTUGAL
U7,9,Thu 18:30,JP2,Pitch 8,JP2.4,GERMANY,ARGENTINA
U10,9,Thu 18:30,JP3,Pitch 9,JP3.1,PORTUGAL,FRANCE
U10,9,Thu 18:30,JP3,Pitch 10,JP3.2,SPAIN,ARGENTINA
U10,9,Thu 18:30,JP3,Pitch 11,JP3.3,GERMANY,ITALY
U11,9,Thu 18:30,JP4,Pitch 12,JP4.1,IRELAND,HOLLAND
U11,9,Thu 18:30,JP4,Pitch 13,JP4.2,ITALY,FRANCE
U11,9,Thu 18:30,JP4,Pitch 14,JP4.3,GERMANY,PORTUGAL
U8,10,Thu 18:45,JP1,Pitch 1,JP1.1,BRAZIL,FRANCE
U8,10,Thu 18:45,JP1,Pitch 2,JP1.2,ENGLAND,ITALY
U8,10,Thu 18:45,JP1,Pitch 3,JP1.3,IRELAND,PORTUGAL
U6,10,Thu 18:45,JP1,Pitch 4,JP1.4,IRELAND,BRAZIL
