age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U7,1,Tue 18:30,JP1,Pitch 1,JP1.1,IRELAND,PORTUGAL
U7,1,Tue 18:30,JP1,Pitch 2,JP1.2,ITALY,SPAIN
U7,1,Tue 18:30,JP1,Pitch 3,JP1.3,FRANCE,ENGLAND
U6,1,Tue 18:30,JP1,Pitch 4,JP1.4,IRELAND,PORTUGAL
U8,1,Tue 18:30,JP2,Pitch 5,JP2.1,PORTUGAL,SPAIN
U8,1,Tue 18:30,JP2,Pitch 6,JP2.2,ENGLAND,ITALY
U8,1,Tue 18:30,JP2,Pitch 7,JP2.3,HOLLAND,BRAZIL
U6,1,Tue 18:30,JP2,Pitch 8,JP2.4,HOLLAND,BRAZIL
U9,1,Tue 18:30,JP3,Pitch 9,JP3.1,IRELAND,ENGLAND
U9,1,Tue 18:30,JP3,Pitch 10,JP3.2,HOLLAND,BRAZIL
U9,1,Tue 18:30,JP3,Pitch 11,JP3.3,PORTUGAL,SPAIN
U10,1,Tue 18:30,JP4,Pitch 12,JP4.1,FRANCE,HOLLAND
U10,1,Tue 18:30,JP4,Pitch 13,JP4.2,SPAIN,ARGENTINA
U10,1,Tue 18:30,JP4,Pitch 14,JP4.3,ENGLAND,GERMANY
U7,2,Tue 18:45,JP1,Pitch 1,JP1.1,HOLLAND,GERMANY
U7,2,Tue 18:45,JP1,Pitch 2,JP1.2,BRAZIL,ARGENTINA
U7,2,Tue 18:45,JP1,Pitch 3,JP1.3,IRELAND,ITALY
U6,2,Tue 18:45,JP1,Pitch 4,JP1.4,ENGLAND,ARGENTINA
U8,2,Tue 18:45,JP2,Pitch 5,JP2.1,IRELAND,FRANCE
U8,2,Tue 18:45,JP2,Pitch 6,JP2.2,ARGENTINA,GERMANY
U8,2,Tue 18:45,JP2,Pitch 7,JP2.3,SPAIN,HOLLAND
U6,2,Tue 18:45,JP2,Pitch 8,JP2.4,GERMANY,SPAIN
U9,2,Tue 18:45,JP3,Pitch 9,JP3.1,ARGENTINA,GERMANY
U9,2,Tue 18:45,JP3,Pitch 10,JP3.2,ITALY,FRANCE
U9,2,Tue 18:45,JP3,Pitch 11,JP3.3,IRELAND,HOLLAND
U10,2,Tue 18:45,JP4,Pitch 12,JP4.1,IRELAND,PORTUGAL
U10,2,Tue 18:45,JP4,Pitch 13,JP4.2,ITALY,BRAZIL
U10,2,Tue 18:45,JP4,Pitch 14,JP4.3,ARGENTINA,HOLLAND
U7,3,Tue 19:00,JP1,Pitch 1,JP1.1,PORTUGAL,ENGLAND
U7,3,Tue 19:00,JP1,Pitch 2,JP1.2,SPAIN,FRANCE
U7,3,Tue 19:00,JP1,Pitch 3,JP1.3,IRELAND,BRAZIL
U6,3,Tue 19:00,JP1,Pitch 4,JP1.4,IRELAND,HOLLAND
U8,3,Tue 19:00,JP2,Pitch 5,JP2.1,ITALY,BRAZIL
U8,3,Tue 19:00,JP2,Pitch 6,JP2.2,PORTUGAL,ENGLAND
U8,3,Tue 19:00,JP2,Pitch 7,JP2.3,IRELAND,GERMANY
U6,3,Tue 19:00,JP2,Pitch 8,JP2.4,PORTUGAL,BRAZIL
U9,3,Tue 19:00,JP3,Pitch 9,JP3.1,BRAZIL,SPAIN
U9,3,Tue 19:00,JP3,Pitch 10,JP3.2,PORTUGAL,ENGLAND
U9,3,Tue 19:00,JP3,Pitch 11,JP3.3,IRELAND,GERMANY
U10,3,Tue 19:00,JP4,Pitch 12,JP4.1,FRANCE,GERMANY
U10,3,Tue 19:00,JP4,Pitch 13,JP4.2,SPAIN,ENGLAND
U10,3,Tue 19:00,JP4,Pitch 14,JP4.3,HOLLAND,PORTUGAL
U7,4,Tue 19:15,JP1,Pitch 1,JP1.1,ARGENTINA,HOLLAND
U7,4,Tue 19:15,JP1,Pitch 2,JP1.2,GERMANY,ITALY
U7,4,Tue 19:15,JP1,Pitch 3,JP1.3,PORTUGAL,BRAZIL
U6,4,Tue 19:15,JP1,Pitch 4,JP1.4,ENGLAND,GERMANY
U8,4,Tue 19:15,JP2,Pitch 5,JP2.1,FRANCE,ARGENTINA
U8,4,Tue 19:15,JP2,Pitch 6,JP2.2,ENGLAND,GERMANY
U8,4,Tue 19:15,JP2,Pitch 7,JP2.3,IRELAND,PORTUGAL
U6,4,Tue 19:15,JP2,Pitch 8,JP2.4,SPAIN,ARGENTINA
U9,4,Tue 19:15,JP3,Pitch 9,JP3.1,HOLLAND,ITALY
U9,4,Tue 19:15,JP3,Pitch 10,JP3.2,FRANCE,ARGENTINA
U9,4,Tue 19:15,JP3,Pitch 11,JP3.3,IRELAND,SPAIN
U10,4,Tue 19:15,JP4,Pitch 12,JP4.1,ARGENTINA,ITALY
U10,4,Tue 19:15,JP4,Pitch 13,JP4.2,IRELAND,BRAZIL
U10,4,Tue 19:15,JP4,Pitch 14,JP4.3,PORTUGAL,FRANCE
U7,5,Tue 19:30,JP1,Pitch 1,JP1.1,IRELAND,ENGLAND
U7,5,Tue 19:30,JP1,Pitch 2,JP1.2,HOLLAND,PORTUGAL
U7,5,Tue 19:30,JP1,Pitch 3,JP1.3,FRANCE,ARGENTINA
U6,5,Tue 19:30,JP1,Pitch 4,JP1.4,IRELAND,BRAZIL
U8,5,Tue 19:30,JP2,Pitch 5,JP2.1,HOLLAND,ITALY
U8,5,Tue 19:30,JP2,Pitch 6,JP2.2,BRAZIL,SPAIN
U8,5,Tue 19:30,JP2,Pitch 7,JP2.3,FRANCE,ENGLAND
U6,5,Tue 19:30,JP2,Pitch 8,JP2.4,HOLLAND,PORTUGAL
U9,5,Tue 19:30,JP3,Pitch 9,JP3.1,GERMANY,BRAZIL
U9,5,Tue 19:30,JP3,Pitch 10,JP3.2,IRELAND,ITALY
U9,5,Tue 19:30,JP3,Pitch 11,JP3.3,ENGLAND,HOLLAND
U10,5,Tue 19:30,JP4,Pitch 12,JP4.1,GERMANY,SPAIN
U10,5,Tue 19:30,JP4,Pitch 13,JP4.2,ENGLAND,HOLLAND
U10,5,Tue 19:30,JP4,Pitch 14,JP4.3,BRAZIL,FRANCE
U7,6,Tue 19:45,JP1,Pitch 1,JP1.1,BRAZIL,SPAIN
U7,6,Tue 19:45,JP1,Pitch 2,JP1.2,ENGLAND,ARGENTINA
U7,6,Tue 19:45,JP1,Pitch 3,JP1.3,ITALY,PORTUGAL
U6,6,Tue 19:45,JP1,Pitch 4,JP1.4,ARGENTINA,GERMANY
U8,6,Tue 19:45,JP2,Pitch 5,JP2.1,IRELAND,ARGENTINA
U8,6,Tue 19:45,JP2,Pitch 6,JP2.2,GERMANY,PORTUGAL
U8,6,Tue 19:45,JP2,Pitch 7,JP2.3,ITALY,FRANCE
