age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U10,1,Tue 18:30,JP1,Pitch 1,JP1.1,HOLLAND,GERMANY
U10,1,Tue 18:30,JP1,Pitch 2,JP1.2,BRAZIL,ENGLAND
U10,1,Tue 18:30,JP1,Pitch 3,JP1.3,PORTUGAL,SPAIN
U6,1,Tue 18:30,JP1,Pitch 4,JP1.4,IRELAND,GERMANY
U11,1,Tue 18:30,JP2,Pitch 5,JP2.1,ARGENTINA,GERMANY
U11,1,Tue 18:30,JP2,Pitch 6,JP2.2,SPAIN,FRANCE
U11,1,Tue 18:30,JP2,Pitch 7,JP2.3,IRELAND,HOLLAND
U7,1,Tue 18:30,JP2,Pitch 8,JP2.4,IRELAND,GERMANY
U12,1,Tue 18:30,JP3,Pitch 9,JP3.1,ITALY,BRAZIL
U12,1,Tue 18:30,JP3,Pitch 10,JP3.2,ARGENTINA,PORTUGAL
U12,1,Tue 18:30,JP3,Pitch 11,JP3.3,ENGLAND,GERMANY
U9,1,Tue 18:30,JP4,Pitch 12,JP4.1,BRAZIL,SPAIN
U9,1,Tue 18:30,JP4,Pitch 13,JP4.2,ENGLAND,ARGENTINA
U8,1,Tue 18:30,JP4,Pitch 14,JP4.3,IRELAND,GERMANY
U10,2,Tue 18:45,JP1,Pitch 1,JP1.1,IRELAND,ARGENTINA
U10,2,Tue 18:45,JP1,Pitch 2,JP1.2,ITALY,FRANCE
U10,2,Tue 18:45,JP1,Pitch 3,JP1.3,BRAZIL,SPAIN
U6,2,Tue 18:45,JP1,Pitch 4,JP1.4,SPAIN,HOLLAND
U11,2,Tue 18:45,JP2,Pitch 5,JP2.1,ENGLAND,ITALY
U11,2,Tue 18:45,JP2,Pitch 6,JP2.2,PORTUGAL,BRAZIL
U11,2,Tue 18:45,JP2,Pitch 7,JP2.3,SPAIN,ARGENTINA
U7,2,Tue 18:45,JP2,Pitch 8,JP2.4,SPAIN,HOLLAND
U12,2,Tue 18:45,JP3,Pitch 9,JP3.1,SPAIN,HOLLAND
U12,2,Tue 18:45,JP3,Pitch 10,JP3.2,IRELAND,FRANCE
U12,2,Tue 18:45,JP3,Pitch 11,JP3.3,GERMANY,ITALY
U9,2,Tue 18:45,JP4,Pitch 12,JP4.1,HOLLAND,GERMANY
U9,2,Tue 18:45,JP4,Pitch 13,JP4.2,IRELAND,PORTUGAL
U8,2,Tue 18:45,JP4,Pitch 14,JP4.3,SPAIN,HOLLAND
U10,3,Tue 19:00,JP1,Pitch 1,JP1.1,PORTUGAL,ENGLAND
U10,3,Tue 19:00,JP1,Pitch 2,JP1.2,FRANCE,GERMANY
U10,3,Tue 19:00,JP1,Pitch 3,JP1.3,ARGENTINA,ITALY
