age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U13,5,Tue 19:30,JP2,Pitch 8,JP2.4,HOLLAND,ARGENTINA
U14,5,Tue 19:30,JP3,Pitch 9,JP3.1,HOLLAND,ARGENTINA
U15,5,Tue 19:30,JP3,Pitch 10,JP3.2,HOLLAND,ARGENTINA
U16,5,Tue 19:30,JP3,Pitch 11,JP3.3,HOLLAND,ARGENTINA
U17,5,Tue 19:30,JP4,Pitch 12,JP4.1,IRELAND,ITALY
U17,5,Tue 19:30,JP4,Pitch 13,JP4.2,HOLLAND,PORTUGAL
U17,5,Tue 19:30,JP4,Pitch 14,JP4.3,BRAZIL,ARGENTINA
U6,6,Tue 19:45,JP1,Pitch 1,JP1.1,GERMANY,BRAZIL
U7,6,Tue 19:45,JP1,Pitch 2,JP1.2,GERMANY,BRAZIL
U8,6,Tue 19:45,JP1,Pitch 3,JP1.3,GERMANY,BRAZIL
U9,6,Tue 19:45,JP1,Pitch 4,JP1.4,GERMANY,BRAZIL
U10,6,Tue 19:45,JP2,Pitch 5,JP2.1,GERMANY,BRAZIL
U11,6,Tue 19:45,JP2,Pitch 6,JP2.2,GERMANY,BRAZIL
U12,6,Tue 19:45,JP2,Pitch 7,JP2.3,GERMANY,BRAZIL
U13,6,Tue 19:45,JP2,Pitch 8,JP2.4,GERMANY,BRAZIL
U14,6,Tue 19:45,JP3,Pitch 9,JP3.1,GERMANY,BRAZIL
U15,6,Tue 19:45,JP3,Pitch 10,JP3.2,GERMANY,BRAZIL
U16,6,Tue 19:45,JP3,Pitch 11,JP3.3,GERMANY,BRAZIL
U17,6,Tue 19:45,JP4,Pitch 12,JP4.1,SPAIN,ENGLAND
U17,6,Tue 19:45,JP4,Pitch 13,JP4.2,PORTUGAL,BRAZIL
U17,6,Tue 19:45,JP4,Pitch 14,JP4.3,ARGENTINA,ITALY
U6,7,Tue 20:00,JP1,Pitch 1,JP1.1,IRELAND,HOLLAND
U7,7,Tue 20:00,JP1,Pitch 2,JP1.2,IRELAND,HOLLAND
U8,7,Tue 20:00,JP1,Pitch 3,JP1.3,IRELAND,HOLLAND
U9,7,Tue 20:00,JP1,Pitch 4,JP1.4,IRELAND,HOLLAND
U10,7,Tue 20:00,JP2,Pitch 5,JP2.1,IRELAND,HOLLAND
U11,7,Tue 20:00,JP2,Pitch 6,JP2.2,IRELAND,HOLLAND
U12,7,Tue 20:00,JP2,Pitch 7,JP2.3,IRELAND,HOLLAND
U13,7,Tue 20:00,JP2,Pitch 8,JP2.4,IRELAND,HOLLAND
U14,7,Tue 20:00,JP3,Pitch 9,JP3.1,IRELAND,HOLLAND
U15,7,Tue 20:00,JP3,Pitch 10,JP3.2,IRELAND,HOLLAND
U16,7,Tue 20:00,JP3,Pitch 11,JP3.3,IRELAND,HOLLAND
U17,7,Tue 20:00,JP4,Pitch 12,JP4.1,FRANCE,HOLLAND
U17,7,Tue 20:00,JP4,Pitch 13,JP4.2,IRELAND,GERMANY
U17,7,Tue 20:00,JP4,Pitch 14,JP4.3,ITALY,PORTUGAL
U6,8,Tue 20:15,JP1,Pitch 1,JP1.1,SPAIN,BRAZIL
U7,8,Tue 20:15,JP1,Pitch 2,JP1.2,SPAIN,BRAZIL
U8,8,Tue 20:15,JP1,Pitch 3,JP1.3,SPAIN,BRAZIL
U9,8,Tue 20:15,JP1,Pitch 4,JP1.4,SPAIN,BRAZIL
U10,8,Tue 20:15,JP2,Pitch 5,JP2.1,SPAIN,BRAZIL
U11,8,Tue 20:15,JP2,Pitch 6,JP2.2,SPAIN,BRAZIL
U12,8,Tue 20:15,JP2,Pitch 7,JP2.3,SPAIN,BRAZIL
U13,8,Tue 20:15,JP2,Pitch 8,JP2.4,SPAIN,BRAZIL
U14,8,Tue 20:15,JP3,Pitch 9,JP3.1,SPAIN,BRAZIL
U15,8,Tue 20:15,JP3,Pitch 10,JP3.2,SPAIN,BRAZIL
U16,8,Tue 20:15,JP3,Pitch 11,JP3.3,SPAIN,BRAZIL
U17,8,Tue 20:15,JP4,Pitch 12,JP4.1,BRAZIL,SPAIN
U17,8,Tue 20:15,JP4,Pitch 13,JP4.2,ENGLAND,ARGENTINA
U17,8,Tue 20:15,JP4,Pitch 14,JP4.3,IRELAND,HOLLAND
U6,9,Thu 18:30,JP1,Pitch 1,JP1.1,GERMANY,ARGENTINA
U7,9,Thu 18:30,JP1,Pitch 2,JP1.2,GERMANY,ARGENTINA
U8,9,Thu 18:30,JP1,Pitch 3,JP1.3,GERMANY,ARGENTINA
U9,9,Thu 18:30,JP1,Pitch 4,JP1.4,GERMANY,ARGENTINA
U10,9,Thu 18:30,JP2,Pitch 5,JP2.1,GERMANY,ARGENTINA
U11,9,Thu 18:30,JP2,Pitch 6,JP2.2,GERMANY,ARGENTINA
U12,9,Thu 18:30,JP2,Pitch 7,JP2.3,GERMANY,ARGENTINA
U13,9,Thu 18:30,JP2,Pitch 8,JP2.4,GERMANY,ARGENTINA
U14,9,Thu 18:30,JP3,Pitch 9,JP3.1,GERMANY,ARGENTINA
U15,9,Thu 18:30,JP3,Pitch 10,JP3.2,GERMANY,ARGENTINA
U16,9,Thu 18:30,JP3,Pitch 11,JP3.3,GERMANY,ARGENTINA
U17,9,Thu 18:30,JP4,Pitch 12,JP4.1,ITALY,FRANCE
U17,9,Thu 18:30,JP4,Pitch 13,JP4.2,ARGENTINA,HOLLAND
U17,9,Thu 18:30,JP4,Pitch 14,JP4.3,IRELAND,SPAIN
U6,10,Thu 18:45,JP1,Pitch 1,JP1.1,IRELAND,BRAZIL
U7,10,Thu 18:45,JP1,Pitch 2,JP1.2,IRELAND,BRAZIL
U8,10,Thu 18:45,JP1,Pitch 3,JP1.3,IRELAND,BRAZIL
U9,10,Thu 18:45,JP1,Pitch 4,JP1.4,IRELAND,BRAZIL
U10,10,Thu 18:45,JP2,Pitch 5,JP2.1,IRELAND,BRAZIL
U11,10,Thu 18:45,JP2,Pitch 6,JP2.2,IRELAND,BRAZIL
U12,10,Thu 18:45,JP2,Pitch 7,JP2.3,IRELAND,BRAZIL
U13,10,Thu 18:45,JP2,Pitch 8,JP2.4,IRELAND,BRAZIL
U14,10,Thu 18:45,JP3,Pitch 9,JP3.1,IRELAND,BRAZIL
U15,10,Thu 18:45,JP3,Pitch 10,JP3.2,IRELAND,BRAZIL
U16,10,Thu 18:45,JP3,Pitch 11,JP3.3,IRELAND,BRAZIL
U17,10,Thu 18:45,JP4,Pitch 12,JP4.1,PORTUGAL,ENGLAND
U17,10,Thu 18:45,JP4,Pitch 13,JP4.2,ARGENTINA,GERMANY
U17,10,Thu 18:45,JP4,Pitch 14,JP4.3,HOLLAND,BRAZIL
U6,11,Thu 19:00,JP1,Pitch 1,JP1.1,SPAIN,ARGENTINA
U7,11,Thu 19:00,JP1,Pitch 2,JP1.2,SPAIN,ARGENTINA
U8,11,Thu 19:00,JP1,Pitch 3,JP1.3,SPAIN,ARGENTINA
U9,11,Thu 19:00,JP1,Pitch 4,JP1.4,SPAIN,ARGENTINA
U10,11,Thu 19:00,JP2,Pitch 5,JP2.1,SPAIN,ARGENTINA
