age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U6,1,Tue 18:30,JP1,Pitch 1,JP1.1,BRAZIL,SPAIN
U6,1,Tue 18:30,JP1,Pitch 2,JP1.2,ARGENTINA,HOLLAND
U7,1,Tue 18:30,JP1,Pitch 3,JP1.3,ENGLAND,GERMANY
U7,1,Tue 18:30,JP1,Pitch 4,JP1.4,IRELAND,SPAIN
U8,1,Tue 18:30,JP2,Pitch 5,JP2.1,ENGLAND,GERMANY
U8,1,Tue 18:30,JP2,Pitch 6,JP2.2,IRELAND,ARGENTINA
U9,1,Tue 18:30,JP2,Pitch 7,JP2.3,IRELAND,ARGENTINA
U9,1,Tue 18:30,JP2,Pitch 8,JP2.4,BRAZIL,SPAIN
U10,1,Tue 18:30,JP3,Pitch 9,JP3.1,BRAZIL,ENGLAND
U10,1,Tue 18:30,JP3,Pitch 10,JP3.2,HOLLAND,PORTUGAL
U11,1,Tue 18:30,JP3,Pitch 11,JP3.3,ARGENTINA,HOLLAND
U11,1,Tue 18:30,JP4,Pitch 12,JP4.1,IRELAND,BRAZIL
U12,1,Tue 18:30,JP4,Pitch 13,JP4.2,BRAZIL,ENGLAND
U12,1,Tue 18:30,JP4,Pitch 14,JP4.3,ARGENTINA,HOLLAND
U6,2,Tue 18:45,JP1,Pitch 1,JP1.1,IRELAND,ENGLAND
U6,2,Tue 18:45,JP1,Pitch 2,JP1.2,GERMANY,PORTUGAL
U7,2,Tue 18:45,JP1,Pitch 3,JP1.3,HOLLAND,BRAZIL
U7,2,Tue 18:45,JP1,Pitch 4,JP1.4,ARGENTINA,PORTUGAL
U8,2,Tue 18:45,JP2,Pitch 5,JP2.1,HOLLAND,PORTUGAL
U8,2,Tue 18:45,JP2,Pitch 6,JP2.2,BRAZIL,SPAIN
U9,2,Tue 18:45,JP2,Pitch 7,JP2.3,HOLLAND,PORTUGAL
U9,2,Tue 18:45,JP2,Pitch 8,JP2.4,ENGLAND,GERMANY
U10,2,Tue 18:45,JP3,Pitch 9,JP3.1,IRELAND,SPAIN
U10,2,Tue 18:45,JP3,Pitch 10,JP3.2,ARGENTINA,GERMANY
U11,2,Tue 18:45,JP3,Pitch 11,JP3.3,PORTUGAL,SPAIN
U11,2,Tue 18:45,JP4,Pitch 12,JP4.1,ENGLAND,GERMANY
U12,2,Tue 18:45,JP4,Pitch 13,JP4.2,GERMANY,SPAIN
U12,2,Tue 18:45,JP4,Pitch 14,JP4.3,IRELAND,PORTUGAL
U6,3,Tue 19:00,JP1,Pitch 1,JP1.1,BRAZIL,ARGENTINA
U6,3,Tue 19:00,JP1,Pitch 2,JP1.2,SPAIN,HOLLAND
U7,3,Tue 19:00,JP1,Pitch 3,JP1.3,SPAIN,ENGLAND
U7,3,Tue 19:00,JP1,Pitch 4,JP1.4,IRELAND,GERMANY
U8,3,Tue 19:00,JP2,Pitch 5,JP2.1,IRELAND,ENGLAND
U8,3,Tue 19:00,JP2,Pitch 6,JP2.2,ARGENTINA,GERMANY
U9,3,Tue 19:00,JP2,Pitch 7,JP2.3,SPAIN,ARGENTINA
U9,3,Tue 19:00,JP2,Pitch 8,JP2.4,IRELAND,BRAZIL
U10,3,Tue 19:00,JP3,Pitch 9,JP3.1,ENGLAND,HOLLAND
U10,3,Tue 19:00,JP3,Pitch 10,JP3.2,PORTUGAL,BRAZIL
U11,3,Tue 19:00,JP3,Pitch 11,JP3.3,IRELAND,ARGENTINA
U11,3,Tue 19:00,JP4,Pitch 12,JP4.1,HOLLAND,BRAZIL
U12,3,Tue 19:00,JP4,Pitch 13,JP4.2,ENGLAND,HOLLAND
U12,3,Tue 19:00,JP4,Pitch 14,JP4.3,BRAZIL,ARGENTINA
U6,4,Tue 19:15,JP1,Pitch 1,JP1.1,IRELAND,PORTUGAL
U6,4,Tue 19:15,JP1,Pitch 2,JP1.2,ENGLAND,GERMANY
U7,4,Tue 19:15,JP1,Pitch 3,JP1.3,BRAZIL,ARGENTINA
U7,4,Tue 19:15,JP1,Pitch 4,JP1.4,HOLLAND,PORTUGAL
U8,4,Tue 19:15,JP2,Pitch 5,JP2.1,PORTUGAL,SPAIN
U8,4,Tue 19:15,JP2,Pitch 6,JP2.2,HOLLAND,BRAZIL
U9,4,Tue 19:15,JP2,Pitch 7,JP2.3,PORTUGAL,ENGLAND
U9,4,Tue 19:15,JP2,Pitch 8,JP2.4,HOLLAND,GERMANY
U10,4,Tue 19:15,JP3,Pitch 9,JP3.1,IRELAND,GERMANY
U10,4,Tue 19:15,JP3,Pitch 10,JP3.2,SPAIN,ARGENTINA
U11,4,Tue 19:15,JP3,Pitch 11,JP3.3,GERMANY,PORTUGAL
U11,4,Tue 19:15,JP4,Pitch 12,JP4.1,SPAIN,ENGLAND
U12,4,Tue 19:15,JP4,Pitch 13,JP4.2,IRELAND,SPAIN
U12,4,Tue 19:15,JP4,Pitch 14,JP4.3,GERMANY,PORTUGAL
U6,5,Tue 19:30,JP1,Pitch 1,JP1.1,HOLLAND,BRAZIL
U6,5,Tue 19:30,JP1,Pitch 2,JP1.2,SPAIN,ARGENTINA
U7,5,Tue 19:30,JP1,Pitch 3,JP1.3,GERMANY,SPAIN
U7,5,Tue 19:30,JP1,Pitch 4,JP1.4,IRELAND,ENGLAND
U8,5,Tue 19:30,JP2,Pitch 5,JP2.1,IRELAND,GERMANY
U8,5,Tue 19:30,JP2,Pitch 6,JP2.2,ENGLAND,ARGENTINA
U9,5,Tue 19:30,JP2,Pitch 7,JP2.3,IRELAND,SPAIN
U9,5,Tue 19:30,JP2,Pitch 8,JP2.4,BRAZIL,ARGENTINA
U10,5,Tue 19:30,JP3,Pitch 9,JP3.1,HOLLAND,BRAZIL
U10,5,Tue 19:30,JP3,Pitch 10,JP3.2,PORTUGAL,ENGLAND
U11,5,Tue 19:30,JP3,Pitch 11,JP3.3,BRAZIL,ARGENTINA
U11,5,Tue 19:30,JP4,Pitch 12,JP4.1,IRELAND,HOLLAND
U12,5,Tue 19:30,JP4,Pitch 13,JP4.2,ENGLAND,ARGENTINA
U12,5,Tue 19:30,JP4,Pitch 14,JP4.3,HOLLAND,BRAZIL
U6,6,Tue 19:45,JP1,Pitch 1,JP1.1,PORTUGAL,ENGLAND
U6,6,Tue 19:45,JP1,Pitch 2,JP1.2,IRELAND,GERMANY
U7,6,Tue 19:45,JP1,Pitch 3,JP1.3,ARGENTINA,HOLLAND
U7,6,Tue 19:45,JP1,Pitch 4,JP1.4,PORTUGAL,BRAZIL
U8,6,Tue 19:45,JP2,Pitch 5,JP2.1,PORTUGAL,BRAZIL
