age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U10,1,Tue 18:30,JP1,Pitch 1,JP1.1,GERMANY,PORTUGAL
U10,1,Tue 18:30,JP1,Pitch 2,JP1.2,HOLLAND,BRAZIL
U10,1,Tue 18:30,JP1,Pitch 3,JP1.3,IRELAND,FRANCE
U8,1,Tue 18:30,JP1,Pitch 4,JP1.4,HOLLAND,PORTUGAL
U11,1,Tue 18:30,JP2,Pitch 5,JP2.1,ENGLAND,HOLLAND
U11,1,Tue 18:30,JP2,Pitch 6,JP2.2,ARGENTINA,GERMANY
U11,1,Tue 18:30,JP2,Pitch 7,JP2.3,ITALY,BRAZIL
U8,1,Tue 18:30,JP2,Pitch 8,JP2.4,BRAZIL,SPAIN
U6,1,Tue 18:30,JP3,Pitch 9,JP3.1,SPAIN,ARGENTINA
U6,1,Tue 18:30,JP3,Pitch 10,JP3.2,ENGLAND,HOLLAND
U9,1,Tue 18:30,JP3,Pitch 11,JP3.3,GERMANY,PORTUGAL
U7,1,Tue 18:30,JP4,Pitch 12,JP4.1,GERMANY,PORTUGAL
U7,1,Tue 18:30,JP4,Pitch 13,JP4.2,HOLLAND,BRAZIL
U9,1,Tue 18:30,JP4,Pitch 14,JP4.3,IRELAND,BRAZIL
U10,2,Tue 18:45,JP1,Pitch 1,JP1.1,ENGLAND,ARGENTINA
U10,2,Tue 18:45,JP1,Pitch 2,JP1.2,ITALY,SPAIN
U10,2,Tue 18:45,JP1,Pitch 3,JP1.3,PORTUGAL,BRAZIL
U8,2,Tue 18:45,JP1,Pitch 4,JP1.4,ENGLAND,ARGENTINA
U11,2,Tue 18:45,JP2,Pitch 5,JP2.1,IRELAND,FRANCE
U11,2,Tue 18:45,JP2,Pitch 6,JP2.2,PORTUGAL,SPAIN
U11,2,Tue 18:45,JP2,Pitch 7,JP2.3,GERMANY,BRAZIL
U8,2,Tue 18:45,JP2,Pitch 8,JP2.4,IRELAND,GERMANY
U6,2,Tue 18:45,JP3,Pitch 9,JP3.1,IRELAND,GERMANY
U6,2,Tue 18:45,JP3,Pitch 10,JP3.2,PORTUGAL,BRAZIL
U9,2,Tue 18:45,JP3,Pitch 11,JP3.3,ARGENTINA,HOLLAND
U7,2,Tue 18:45,JP4,Pitch 12,JP4.1,SPAIN,ARGENTINA
U7,2,Tue 18:45,JP4,Pitch 13,JP4.2,IRELAND,ENGLAND
U9,2,Tue 18:45,JP4,Pitch 14,JP4.3,SPAIN,ENGLAND
U10,3,Tue 19:00,JP1,Pitch 1,JP1.1,FRANCE,GERMANY
U10,3,Tue 19:00,JP1,Pitch 2,JP1.2,IRELAND,HOLLAND
U10,3,Tue 19:00,JP1,Pitch 3,JP1.3,PORTUGAL,ENGLAND
U8,3,Tue 19:00,JP1,Pitch 4,JP1.4,PORTUGAL,SPAIN
U11,3,Tue 19:00,JP2,Pitch 5,JP2.1,ARGENTINA,ITALY
U11,3,Tue 19:00,JP2,Pitch 6,JP2.2,HOLLAND,PORTUGAL
U11,3,Tue 19:00,JP2,Pitch 7,JP2.3,FRANCE,GERMANY
U8,3,Tue 19:00,JP2,Pitch 8,JP2.4,HOLLAND,BRAZIL
U6,3,Tue 19:00,JP3,Pitch 9,JP3.1,ARGENTINA,HOLLAND
U6,3,Tue 19:00,JP3,Pitch 10,JP3.2,SPAIN,ENGLAND
U9,3,Tue 19:00,JP3,Pitch 11,JP3.3,IRELAND,PORTUGAL
U7,3,Tue 19:00,JP4,Pitch 12,JP4.1,HOLLAND,GERMANY
U7,3,Tue 19:00,JP4,Pitch 13,JP4.2,PORTUGAL,BRAZIL
U9,3,Tue 19:00,JP4,Pitch 14,JP4.3,GERMANY,BRAZIL
U10,4,Tue 19:15,JP1,Pitch 1,JP1.1,ITALY,BRAZIL
U10,4,Tue 19:15,JP1,Pitch 2,JP1.2,SPAIN,ARGENTINA
U10,4,Tue 19:15,JP1,Pitch 3,JP1.3,ENGLAND,HOLLAND
U8,4,Tue 19:15,JP1,Pitch 4,JP1.4,ENGLAND,GERMANY
U11,4,Tue 19:15,JP2,Pitch 5,JP2.1,IRELAND,ENGLAND
U11,4,Tue 19:15,JP2,Pitch 6,JP2.2,BRAZIL,SPAIN
U11,4,Tue 19:15,JP2,Pitch 7,JP2.3,ITALY,FRANCE
U8,4,Tue 19:15,JP2,Pitch 8,JP2.4,IRELAND,ARGENTINA
U6,4,Tue 19:15,JP3,Pitch 9,JP3.1,GERMANY,BRAZIL
U6,4,Tue 19:15,JP3,Pitch 10,JP3.2,IRELAND,PORTUGAL
U9,4,Tue 19:15,JP3,Pitch 11,JP3.3,ENGLAND,HOLLAND
U7,4,Tue 19:15,JP4,Pitch 12,JP4.1,IRELAND,SPAIN
U7,4,Tue 19:15,JP4,Pitch 13,JP4.2,ENGLAND,ARGENTINA
U9,4,Tue 19:15,JP4,Pitch 14,JP4.3,SPAIN,ARGENTINA
U10,5,Tue 19:30,JP1,Pitch 1,JP1.1,IRELAND,GERMANY
U10,5,Tue 19:30,JP1,Pitch 2,JP1.2,PORTUGAL,FRANCE
U10,5,Tue 19:30,JP1,Pitch 3,JP1.3,HOLLAND,ITALY
U8,5,Tue 19:30,JP1,Pitch 4,JP1.4,SPAIN,HOLLAND
U11,5,Tue 19:30,JP2,Pitch 5,JP2.1,ARGENTINA,HOLLAND
U11,5,Tue 19:30,JP2,Pitch 6,JP2.2,GERMANY,PORTUGAL
U11,5,Tue 19:30,JP2,Pitch 7,JP2.3,IRELAND,SPAIN
U8,5,Tue 19:30,JP2,Pitch 8,JP2.4,PORTUGAL,BRAZIL
U6,5,Tue 19:30,JP3,Pitch 9,JP3.1,ENGLAND,ARGENTINA
U6,5,Tue 19:30,JP3,Pitch 10,JP3.2,SPAIN,HOLLAND
U9,5,Tue 19:30,JP3,Pitch 11,JP3.3,PORTUGAL,BRAZIL
U7,5,Tue 19:30,JP4,Pitch 12,JP4.1,GERMANY,BRAZIL
U7,5,Tue 19:30,JP4,Pitch 13,JP4.2,HOLLAND,PORTUGAL
U9,5,Tue 19:30,JP4,Pitch 14,JP4.3,IRELAND,GERMANY
U10,6,Tue 19:45,JP1,Pitch 1,JP1.1,BRAZIL,ENGLAND
U10,6,Tue 19:45,JP1,Pitch 2,JP1.2,IRELAND,ITALY
U10,6,Tue 19:45,JP1,Pitch 3,JP1.3,FRANCE,ARGENTINA
U8,6,Tue 19:45,JP1,Pitch 4,JP1.4,ARGENTINA,GERMANY
U11,6,Tue 19:45,JP2,Pitch 5,JP2.1,ENGLAND,ITALY
U11,6,Tue 19:45,JP2,Pitch 6,JP2.2,BRAZIL,FRANCE
U11,6,Tue 19:45,JP2,Pitch 7,JP2.3,SPAIN,ARGENTINA
U8,6,Tue 19:45,JP2,Pitch 8,JP2.4,IRELAND,ENGLAND
U6,6,Tue 19:45,JP3,Pitch 9,JP3.1,IRELAND,BRAZIL
U6,6,Tue 19:45,JP3,Pitch 10,JP3.2,GERMANY,PORTUGAL
U9,6,Tue 19:45,JP3,Pitch 11,JP3.3,ENGLAND,ARGENTINA
U7,6,Tue 19:45,JP4,Pitch 12,JP4.1,SPAIN,ENGLAND
U7,6,Tue 19:45,JP4,Pitch 13,JP4.2,IRELAND,ARGENTINA
U9,6,Tue 19:45,JP4,Pitch 14,JP4.3,SPAIN,HOLLAND
U10,7,Tue 20:00,JP1,Pitch 1,JP1.1,HOLLAND,GERMANY
U10,7,Tue 20:00,JP1,Pitch 2,JP1.2,PORTUGAL,SPAIN
