age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U11,1,Tue 18:30,JP1,Pitch 1,JP1.1,SPAIN,HOLLAND
U11,1,Tue 18:30,JP1,Pitch 2,JP1.2,PORTUGAL,ENGLAND
U11,1,Tue 18:30,JP1,Pitch 3,JP1.3,FRANCE,ARGENTINA
U10,1,Tue 18:30,JP1,Pitch 4,JP1.4,PORTUGAL,BRAZIL
U12,1,Tue 18:30,JP2,Pitch 5,JP2.1,SPAIN,ENGLAND
U12,1,Tue 18:30,JP2,Pitch 6,JP2.2,BRAZIL,FRANCE
U12,1,Tue 18:30,JP2,Pitch 7,JP2.3,IRELAND,PORTUGAL
U10,1,Tue 18:30,JP2,Pitch 8,JP2.4,IRELAND,HOLLAND
U8,1,Tue 18:30,JP3,Pitch 9,JP3.1,IRELAND,SPAIN
U8,1,Tue 18:30,JP3,Pitch 10,JP3.2,ENGLAND,ARGENTINA
U6,1,Tue 18:30,JP3,Pitch 11,JP3.3,IRELAND,GERMANY
U9,1,Tue 18:30,JP4,Pitch 12,JP4.1,SPAIN,HOLLAND
U9,1,Tue 18:30,JP4,Pitch 13,JP4.2,BRAZIL,ENGLAND
U7,1,Tue 18:30,JP4,Pitch 14,JP4.3,IRELAND,GERMANY
U11,2,Tue 18:45,JP1,Pitch 1,JP1.1,IRELAND,BRAZIL
U11,2,Tue 18:45,JP1,Pitch 2,JP1.2,GERMANY,ITALY
U11,2,Tue 18:45,JP1,Pitch 3,JP1.3,SPAIN,FRANCE
U10,2,Tue 18:45,JP1,Pitch 4,JP1.4,ENGLAND,ARGENTINA
U12,2,Tue 18:45,JP2,Pitch 5,JP2.1,HOLLAND,GERMANY
U12,2,Tue 18:45,JP2,Pitch 6,JP2.2,ARGENTINA,ITALY
U12,2,Tue 18:45,JP2,Pitch 7,JP2.3,IRELAND,BRAZIL
U10,2,Tue 18:45,JP2,Pitch 8,JP2.4,GERMANY,SPAIN
U8,2,Tue 18:45,JP3,Pitch 9,JP3.1,PORTUGAL,BRAZIL
U8,2,Tue 18:45,JP3,Pitch 10,JP3.2,HOLLAND,GERMANY
U6,2,Tue 18:45,JP3,Pitch 11,JP3.3,SPAIN,HOLLAND
U9,2,Tue 18:45,JP4,Pitch 12,JP4.1,IRELAND,GERMANY
U9,2,Tue 18:45,JP4,Pitch 13,JP4.2,ARGENTINA,PORTUGAL
U7,2,Tue 18:45,JP4,Pitch 14,JP4.3,SPAIN,HOLLAND
U11,3,Tue 19:00,JP1,Pitch 1,JP1.1,ENGLAND,ARGENTINA
U11,3,Tue 19:00,JP1,Pitch 2,JP1.2,HOLLAND,PORTUGAL
U11,3,Tue 19:00,JP1,Pitch 3,JP1.3,BRAZIL,SPAIN
U10,3,Tue 19:00,JP1,Pitch 4,JP1.4,IRELAND,PORTUGAL
U12,3,Tue 19:00,JP2,Pitch 5,JP2.1,PORTUGAL,FRANCE
U12,3,Tue 19:00,JP2,Pitch 6,JP2.2,SPAIN,HOLLAND
U12,3,Tue 19:00,JP2,Pitch 7,JP2.3,GERMANY,BRAZIL
U10,3,Tue 19:00,JP2,Pitch 8,JP2.4,HOLLAND,BRAZIL
U8,3,Tue 19:00,JP3,Pitch 9,JP3.1,SPAIN,ENGLAND
U8,3,Tue 19:00,JP3,Pitch 10,JP3.2,IRELAND,ARGENTINA
U6,3,Tue 19:00,JP3,Pitch 11,JP3.3,BRAZIL,ARGENTINA
U9,3,Tue 19:00,JP4,Pitch 12,JP4.1,ENGLAND,HOLLAND
U9,3,Tue 19:00,JP4,Pitch 13,JP4.2,BRAZIL,SPAIN
U7,3,Tue 19:00,JP4,Pitch 14,JP4.3,BRAZIL,ARGENTINA
U11,4,Tue 19:15,JP1,Pitch 1,JP1.1,IRELAND,ITALY
U11,4,Tue 19:15,JP1,Pitch 2,JP1.2,FRANCE,GERMANY
U11,4,Tue 19:15,JP1,Pitch 3,JP1.3,HOLLAND,BRAZIL
U10,4,Tue 19:15,JP1,Pitch 4,JP1.4,ARGENTINA,GERMANY
U12,4,Tue 19:15,JP2,Pitch 5,JP2.1,ENGLAND,ARGENTINA
U12,4,Tue 19:15,JP2,Pitch 6,JP2.2,IRELAND,ITALY
U12,4,Tue 19:15,JP2,Pitch 7,JP2.3,GERMANY,PORTUGAL
U10,4,Tue 19:15,JP2,Pitch 8,JP2.4,SPAIN,ENGLAND
U8,4,Tue 19:15,JP3,Pitch 9,JP3.1,HOLLAND,PORTUGAL
U8,4,Tue 19:15,JP3,Pitch 10,JP3.2,GERMANY,BRAZIL
U6,4,Tue 19:15,JP3,Pitch 11,JP3.3,IRELAND,SPAIN
U9,4,Tue 19:15,JP4,Pitch 12,JP4.1,ARGENTINA,GERMANY
U9,4,Tue 19:15,JP4,Pitch 13,JP4.2,IRELAND,PORTUGAL
U7,4,Tue 19:15,JP4,Pitch 14,JP4.3,IRELAND,SPAIN
U11,5,Tue 19:30,JP1,Pitch 1,JP1.1,PORTUGAL,SPAIN
