Time	Goals Team1	Goals Team2	Pitch	Team1	Team2
2024-06-11 18:30	0	3	JP1.1	IRELAND u10	GERMANY u10
2024-06-11 18:30	2	0	JP1.2	SPAIN u10	ARGENTINA u10
2024-06-11 18:30	3	1	JP1.3	HOLLAND u10	PORTUGAL u10
2024-06-11 18:45	1	2	JP1.1	BRAZIL u10	ENGLAND u10
2024-06-11 18:45	1	0	JP1.2	FRANCE u10	ITALY u10
2024-06-11 18:45	3	1	JP1.3	IRELAND u10	SPAIN u10
2024-06-11 19:00	1	2	JP1.1	HOLLAND u10	GERMANY u10
2024-06-11 19:00	1	1	JP1.2	BRAZIL u10	ARGENTINA u10
2024-06-11 19:00	0	3	JP1.3	FRANCE u10	PORTUGAL u10
2024-06-11 19:15	0	0	JP1.1	ITALY u10	ENGLAND u10
2024-06-11 19:15	2	2	JP1.2	IRELAND u10	HOLLAND u10
2024-06-11 19:15	1	4	JP1.3	BRAZIL u10	SPAIN u10
2024-06-11 19:30	2	0	JP1.1	FRANCE u10	GERMANY u10
2024-06-11 19:30	1	2	JP1.2	ITALY u10	ARGENTINA u10
2024-06-11 19:30	4	1	JP1.3	ENGLAND u10	PORTUGAL u10
2024-06-11 19:45	0	1	JP1.1	IRELAND u10	BRAZIL u10
2024-06-11 19:45	0	1	JP1.2	FRANCE u10	HOLLAND u10
2024-06-11 19:45	1	2	JP1.3	ITALY u10	SPAIN u10
2024-06-11 20:00	2	1	JP1.1	ENGLAND u10	GERMANY u10
2024-06-11 20:00	1	1	JP1.2	PORTUGAL u10	ARGENTINA u10
2024-06-11 20:00	2	2	JP1.3	IRELAND u10	FRANCE u10
2024-06-11 20:15	1	1	JP1.1	ITALY u10	BRAZIL u10
2024-06-11 20:15	2	1	JP1.2	ENGLAND u10	HOLLAND u10
2024-06-11 20:15	0	1	JP1.3	PORTUGAL u10	SPAIN u10
2024-06-13 18:30	1	1	JP1.1	ARGENTINA u10	GERMANY u10
2024-06-13 18:30	1	0	JP1.2	IRELAND u10	ITALY u10
2024-06-13 18:30	0	0	JP1.3	ENGLAND u10	FRANCE u10
2024-06-13 18:45	2	3	JP1.1	PORTUGAL u10	BRAZIL u10
2024-06-13 18:45	1	2	JP1.2	ARGENTINA u10	HOLLAND u10
2024-06-13 18:45	0	1	JP1.3	GERMANY u10	SPAIN u10
2024-06-13 19:00	1	1	JP1.1	IRELAND u10	ENGLAND u10
2024-06-13 19:00	1	2	JP1.2	PORTUGAL u10	ITALY u10
2024-06-13 19:00	1	1	JP1.3	ARGENTINA u10	FRANCE u10
2024-06-13 19:15	2	3	JP1.1	GERMANY u10	BRAZIL u10
2024-06-13 19:15	1	3	JP1.2	SPAIN u10	HOLLAND u10
2024-06-13 19:15	2	1	JP1.3	IRELAND u10	PORTUGAL u10
2024-06-13 19:30	2	2	JP1.1	ARGENTINA u10	ENGLAND u10
2024-06-13 19:30	2	0	JP1.2	GERMANY u10	ITALY u10
2024-06-13 19:30	3	0	JP1.3	SPAIN u10	FRANCE u10
2024-06-13 19:45	3	2	JP1.1	HOLLAND u10	BRAZIL u10
2024-06-13 19:45	2	1	JP1.2	IRELAND u10	ARGENTINA u10
2024-06-13 19:45	3	0	JP1.3	GERMANY u10	PORTUGAL u10
2024-06-13 20:00	2	1	JP1.1	SPAIN u10	ENGLAND u10
2024-06-13 20:00	1	1	JP1.2	HOLLAND u10	ITALY u10
2024-06-13 20:00	1	0	JP1.3	BRAZIL u10	FRANCE u10
