Time	Goals Team1	Goals Team2	Pitch	Team1	Team2
2024-06-11 18:30	2	5	JP2.1	IRELAND u14	GERMANY u14
2024-06-11 18:30	1	1	JP2.2	SPAIN u14	BRAZIL u14
2024-06-11 18:30	1	1	JP2.3	HOLLAND u14	ARGENTINA u14
2024-06-11 18:45	1	1	JP2.1	ENGLAND u14	PORTUGAL u14
2024-06-11 18:45	2	4	JP2.2	IRELAND u14	SPAIN u14
2024-06-11 18:45	1	2	JP2.3	HOLLAND u14	GERMANY u14
2024-06-11 19:00	2	1	JP2.1	ENGLAND u14	BRAZIL u14
2024-06-11 19:00	1	2	JP2.2	PORTUGAL u14	ARGENTINA u14
2024-06-11 19:00	3	4	JP2.3	IRELAND u14	HOLLAND u14
2024-06-11 19:15	4	1	JP2.1	ENGLAND u14	SPAIN u14
2024-06-11 19:15	0	1	JP2.2	PORTUGAL u14	GERMANY u14
2024-06-11 19:15	1	0	JP2.3	ARGENTINA u14	BRAZIL u14
2024-06-11 19:30	1	4	JP2.1	IRELAND u14	ENGLAND u14
2024-06-11 19:30	3	0	JP2.2	PORTUGAL u14	HOLLAND u14
2024-06-11 19:30	1	2	JP2.3	ARGENTINA u14	SPAIN u14
2024-06-11 19:45	2	1	JP2.1	BRAZIL u14	GERMANY u14
2024-06-11 19:45	1	4	JP2.2	IRELAND u14	PORTUGAL u14
2024-06-11 19:45	2	0	JP2.3	ARGENTINA u14	ENGLAND u14
2024-06-11 20:00	1	1	JP2.1	BRAZIL u14	HOLLAND u14
2024-06-11 20:00	1	4	JP2.2	GERMANY u14	SPAIN u14
2024-06-11 20:00	1	2	JP2.3	IRELAND u14	ARGENTINA u14
2024-06-11 20:15	3	0	JP2.1	BRAZIL u14	PORTUGAL u14
2024-06-11 20:15	1	1	JP2.2	GERMANY u14	ENGLAND u14
2024-06-11 20:15	2	2	JP2.3	SPAIN u14	HOLLAND u14
2024-06-11 20:30	4	3	JP2.1	IRELAND u14	BRAZIL u14
2024-06-11 20:30	1	0	JP2.2	GERMANY u14	ARGENTINA u14
2024-06-11 20:30	2	2	JP2.3	SPAIN u14	PORTUGAL u14
2024-06-11 20:45	0	3	JP2.1	HOLLAND u14	ENGLAND u14
2024-06-13 18:30	0	3	JP2.1	IRELAND u14	GERMANY u14
2024-06-13 18:30	1	3	JP2.2	SPAIN u14	BRAZIL u14
2024-06-13 18:30	1	2	JP2.3	HOLLAND u14	ARGENTINA u14
2024-06-13 18:45	1	3	JP2.1	ENGLAND u14	PORTUGAL u14
2024-06-13 18:45	3	3	JP2.2	IRELAND u14	SPAIN u14
2024-06-13 18:45	2	0	JP2.3	HOLLAND u14	GERMANY u14
2024-06-13 19:00	1	3	JP2.1	ENGLAND u14	BRAZIL u14
2024-06-13 19:00	2	0	JP2.2	PORTUGAL u14	ARGENTINA u14
2024-06-13 19:00	1	2	JP2.3	IRELAND u14	HOLLAND u14
2024-06-13 19:15	0	1	JP2.1	ENGLAND u14	SPAIN u14
2024-06-13 19:15	1	2	JP2.2	PORTUGAL u14	GERMANY u14
2024-06-13 19:15	1	2	JP2.3	ARGENTINA u14	BRAZIL u14
2024-06-13 19:30	0	1	JP2.1	IRELAND u14	ENGLAND u14
2024-06-13 19:30	1	2	JP2.2	PORTUGAL u14	HOLLAND u14
2024-06-13 19:30	3	1	JP2.3	ARGENTINA u14	SPAIN u14
2024-06-13 19:45	0	0	JP2.1	BRAZIL u14	GERMANY u14
2024-06-13 19:45	0	0	JP2.2	IRELAND u14	PORTUGAL u14
2024-06-13 19:45	0	0	JP2.3	ARGENTINA u14	ENGLAND u14
2024-06-13 20:00	1	1	JP2.1	BRAZIL u14	HOLLAND u14
2024-06-13 20:00	1	2	JP2.2	GERMANY u14	SPAIN u14
2024-06-13 20:00	0	2	JP2.3	IRELAND u14	ARGENTINA u14
2024-06-13 20:15	2	0	JP2.1	BRAZIL u14	PORTUGAL u14
2024-06-13 20:15	1	4	JP2.2	GERMANY u14	ENGLAND u14
2024-06-13 20:15	2	2	JP2.3	SPAIN u14	HOLLAND u14
2024-06-13 20:30	0	1	JP2.1	IRELAND u14	BRAZIL u14
2024-06-13 20:30	1	0	JP2.2	GERMANY u14	ARGENTINA u14
2024-06-13 20:30	0	3	JP2.3	SPAIN u14	PORTUGAL u14
2024-06-13 20:45	2	2	JP2.1	HOLLAND u14	ENGLAND u14
