Starting time	End time (optional)	Day	Playing field	Phase	Division	Group	Team 1	Team 2
19:45	19:57	06-10-2025	JP4.2	League	u12	League	FRANCE	HOLLAND
19:45	19:57	06-10-2025	JP4.3	League	u12	League	ITALY	SPAIN
20:00	20:12	06-10-2025	JP1.2	League	U7	League	IRELAND	ARGENTINA
20:00	20:12	06-10-2025	JP3.1	League	U8	League	ENGLAND	GERMANY
20:00	20:12	06-10-2025	JP3.2	League	U8	League	PORTUGAL	ARGENTINA
20:00	20:12	06-10-2025	JP3.3	League	U8	League	IRELAND	FRANCE
20:00	20:12	06-10-2025	JP1.1	League	u10	League	ENGLAND	GERMANY
20:00	20:12	06-10-2025	JP1.3	League	u10	League	PORTUGAL	ARGENTINA
20:00	20:12	06-10-2025	JP1.4	League	u10	League	IRELAND	FRANCE
20:00	20:12	06-10-2025	JP2.1	League	u14	League	BRAZIL	HOLLAND
20:00	20:12	06-10-2025	JP2.2	League	u14	League	GERMANY	SPAIN
20:00	20:12	06-10-2025	JP2.3	League	u14	League	IRELAND	ARGENTINA
20:00	20:12	06-10-2025	JP4.1	League	u12	League	ENGLAND	GERMANY
20:00	20:12	06-10-2025	JP4.2	League	u12	League	PORTUGAL	ARGENTINA
20:00	20:12	06-10-2025	JP4.3	League	u12	League	IRELAND	FRANCE
20:15	20:27	06-10-2025	JP1.2	League	U7	League	BRAZIL	SPAIN
20:15	20:27	06-10-2025	JP3.1	League	U8	League	ITALY	BRAZIL
20:15	20:27	06-10-2025	JP3.2	League	U8	League	ENGLAND	HOLLAND
20:15	20:27	06-10-2025	JP3.3	League	U8	League	PORTUGAL	SPAIN
20:15	20:27	06-10-2025	JP1.1	League	u10	League	ITALY	BRAZIL
20:15	20:27	06-10-2025	JP1.3	League	u10	League	ENGLAND	HOLLAND
20:15	20:27	06-10-2025	JP1.4	League	u10	League	PORTUGAL	SPAIN
20:15	20:27	06-10-2025	JP2.1	League	u14	League	BRAZIL	PORTUGAL
20:15	20:27	06-10-2025	JP2.2	League	u14	League	GERMANY	ENGLAND
20:15	20:27	06-10-2025	JP2.3	League	u14	League	SPAIN	HOLLAND
20:15	20:27	06-10-2025	JP4.1	League	u12	League	ITALY	BRAZIL
20:15	20:27	06-10-2025	JP4.2	League	u12	League	ENGLAND	HOLLAND
20:15	20:27	06-10-2025	JP4.3	League	u12	League	PORTUGAL	SPAIN
20:30	20:42	06-10-2025	JP2.1	League	u14	League	IRELAND	BRAZIL
20:30	20:42	06-10-2025	JP2.2	League	u14	League	GERMANY	ARGENTINA
