Time	Goals Team1	Goals Team2	Pitch	Team1	Team2
2024-06-11 18:30	4	1	JP3.1	IRELAND u8	GERMANY u8
2024-06-11 18:30	3	1	JP3.2	SPAIN u8	ARGENTINA u8
2024-06-11 18:30	3	1	JP3.3	HOLLAND u8	PORTUGAL u8
2024-06-11 18:45	5	5	JP3.1	BRAZIL u8	ENGLAND u8
2024-06-11 18:45	1	2	JP3.2	FRANCE u8	ITALY u8
2024-06-11 18:45	3	1	JP3.3	IRELAND u8	SPAIN u8
2024-06-11 19:00	1	3	JP3.1	HOLLAND u8	GERMANY u8
2024-06-11 19:00	2	2	JP3.2	BRAZIL u8	ARGENTINA u8
2024-06-11 19:00	1	0	JP3.3	FRANCE u8	PORTUGAL u8
2024-06-11 19:15	4	1	JP3.1	ITALY u8	ENGLAND u8
2024-06-11 19:15	2	2	JP3.2	IRELAND u8	HOLLAND u8
2024-06-11 19:15	3	3	JP3.3	BRAZIL u8	SPAIN u8
2024-06-11 19:30	0	3	JP3.1	FRANCE u8	GERMANY u8
2024-06-11 19:30	3	0	JP3.2	ITALY u8	ARGENTINA u8
2024-06-11 19:30	5	4	JP3.3	ENGLAND u8	PORTUGAL u8
2024-06-11 19:45	3	0	JP3.1	IRELAND u8	BRAZIL u8
2024-06-11 19:45	3	2	JP3.2	FRANCE u8	HOLLAND u8
2024-06-11 19:45	6	4	JP3.3	ITALY u8	SPAIN u8
2024-06-11 20:00	0	1	JP3.1	ENGLAND u8	GERMANY u8
2024-06-11 20:00	1	3	JP3.2	PORTUGAL u8	ARGENTINA u8
2024-06-11 20:00	2	2	JP3.3	IRELAND u8	FRANCE u8
2024-06-11 20:15	4	2	JP3.1	ITALY u8	BRAZIL u8
2024-06-11 20:15	0	3	JP3.2	ENGLAND u8	HOLLAND u8
2024-06-11 20:15	0	3	JP3.3	PORTUGAL u8	SPAIN u8
2024-06-13 18:30	1	2	JP3.1	ARGENTINA u8	GERMANY u8
2024-06-13 18:30	1	2	JP3.2	IRELAND u8	ITALY u8
2024-06-13 18:30	2	4	JP3.3	ENGLAND u8	FRANCE u8
2024-06-13 18:45	0	1	JP3.1	PORTUGAL u8	BRAZIL u8
2024-06-13 18:45	3	2	JP3.2	ARGENTINA u8	HOLLAND u8
2024-06-13 18:45	0	3	JP3.3	GERMANY u8	SPAIN u8
2024-06-13 19:00	3	1	JP3.1	IRELAND u8	ENGLAND u8
2024-06-13 19:00	1	3	JP3.2	PORTUGAL u8	ITALY u8
2024-06-13 19:00	5	4	JP3.3	ARGENTINA u8	FRANCE u8
2024-06-13 19:15	1	0	JP3.1	GERMANY u8	BRAZIL u8
2024-06-13 19:15	2	1	JP3.2	SPAIN u8	HOLLAND u8
2024-06-13 19:15	2	0	JP3.3	IRELAND u8	PORTUGAL u8
2024-06-13 19:30	3	2	JP3.1	ARGENTINA u8	ENGLAND u8
2024-06-13 19:30	2	4	JP3.2	GERMANY u8	ITALY u8
2024-06-13 19:30	0	0	JP3.3	SPAIN u8	FRANCE u8
2024-06-13 19:45	3	0	JP3.1	HOLLAND u8	BRAZIL u8
2024-06-13 19:45	2	1	JP3.2	IRELAND u8	ARGENTINA u8
2024-06-13 19:45	3	0	JP3.3	GERMANY u8	PORTUGAL u8
2024-06-13 20:00	4	1	JP3.1	SPAIN u8	ENGLAND u8
2024-06-13 20:00	1	1	JP3.2	HOLLAND u8	ITALY u8
2024-06-13 20:00	0	1	JP3.3	BRAZIL u8	FRANCE u8
